Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,10.389494,10.575318,9.879149,10.370376,10.370376,52452225
2020-07-01,10.574696,11.298431,10.144362,10.374586,10.374586,46367085
2020-07-02,10.362132,10.362132,9.259475,9.542631,9.542631,40799886
2020-07-03,9.543405,9.559461,9.035295,9.134099,9.134099,39392857
2020-07-04,9.135530,9.282908,8.935528,9.261066,9.261066,36423708
2020-07-05,9.252301,9.280844,8.587071,8.868693,8.868693,36371850
2020-07-06,8.868693,9.486431,8.735618,9.457692,9.457692,46336090
2020-07-07,9.462956,9.851024,9.091768,9.167377,9.167377,43434851
2020-07-08,9.164273,9.560583,9.159961,9.396571,9.396571,41460182
2020-07-09,9.396571,9.514643,9.264896,9.445004,9.445004,36536009
2020-07-10,9.435548,9.468680,9.093344,9.257361,9.257361,32070356
2020-07-11,9.256931,10.080780,9.241997,9.827353,9.827353,46059636
2020-07-12,9.843081,10.100691,9.653079,9.798109,9.798109,40753153
2020-07-13,9.798109,9.838690,9.320305,9.356959,9.356959,38765295
2020-07-14,9.352584,9.620070,9.230004,9.510610,9.510610,36477633
2020-07-15,9.531058,9.584821,9.357126,9.433490,9.433490,32039930
2020-07-16,9.431154,9.454948,9.364551,9.399483,9.399483,32733638
2020-07-17,9.401445,9.423503,9.331400,9.364413,9.364413,32430300
2020-07-18,9.362978,9.445179,9.332413,9.374749,9.374749,32982818
2020-07-19,9.376736,9.421579,9.331721,9.382815,9.382815,32461580
2020-07-20,9.382441,9.431354,9.354152,9.376792,9.376792,33529972
2020-07-21,9.377936,9.530128,9.354545,9.494847,9.494847,37898715
2020-07-22,9.494742,9.538406,9.410673,9.528543,9.528543,32156724
2020-07-23,9.529158,9.536216,9.466819,9.493524,9.493524,34505799
2020-07-24,9.488871,9.513861,9.433123,9.454310,9.454310,32417722
2020-07-25,9.455687,9.524035,9.454331,9.509616,9.509616,32632287
2020-07-26,9.502837,9.662652,9.490562,9.580537,9.580537,38018995
2020-07-27,9.580860,9.974012,9.551840,9.885283,9.885283,48963355
2020-07-28,9.883462,10.508939,9.801335,9.964049,9.964049,47935050
2020-07-29,9.963209,10.121107,9.909097,9.924272,9.924272,42584444
2020-07-30,9.921879,9.949408,9.617633,9.730799,9.730799,34153180
2020-07-31,9.731020,9.864267,9.684274,9.862015,9.862015,38699410
2020-08-01,9.862015,10.117750,9.833126,10.089299,10.089299,42611043
2020-08-02,10.102771,11.670755,9.952159,10.103429,10.103429,20183425
2020-08-03,10.089890,10.662782,10.057463,10.573085,10.573085,16161659
2020-08-04,10.572922,10.764715,10.072423,10.335372,10.335372,13998711
2020-08-05,10.325907,10.615405,10.220377,10.518727,10.518727,13982800
2020-08-06,10.486339,10.753704,10.223010,10.507712,10.507712,12838289
2020-08-07,10.508783,10.671042,10.114497,10.308198,10.308198,12339244
2020-08-08,10.314788,10.472294,10.246337,10.351572,10.351572,10496941
2020-08-09,10.345141,10.465837,10.206712,10.242893,10.242893,8818644
2020-08-10,10.246269,10.579912,10.228034,10.541456,10.541456,12939416
2020-08-11,10.536683,10.873196,10.270638,10.469524,10.469524,25778337
2020-08-12,10.491261,10.879723,10.176208,10.660553,10.660553,28564974
2020-08-13,10.658019,11.035213,10.562142,10.971964,10.971964,13013024
2020-08-14,11.002815,11.030252,10.792026,10.876688,10.876688,9023304
2020-08-15,10.875341,11.333603,10.852315,11.203474,11.203474,10924872
2020-08-16,11.206057,11.684447,11.112677,11.576751,11.576751,11871134
2020-08-17,11.576751,12.010203,11.458521,11.628117,11.628117,13563084
2020-08-18,11.638103,11.979694,11.029519,11.218257,11.218257,11769481
2020-08-19,11.218257,11.425298,10.535893,10.603783,10.603783,11005998
2020-08-20,10.625989,11.006157,10.415759,10.941091,10.941091,9980231
2020-08-21,10.940607,11.636643,10.748107,10.748107,10.748107,14243700
2020-08-22,10.755677,10.954150,10.177295,10.925749,10.925749,11902306
2020-08-23,10.917323,11.053796,10.473389,10.771870,10.771870,8321038
2020-08-24,10.771870,10.948692,10.616529,10.879804,10.879804,7336921
2020-08-25,10.868384,10.886720,9.888900,10.080982,10.080982,10216771
2020-08-26,10.081454,10.243520,9.597934,10.114724,10.114724,11075527
2020-08-27,10.110468,10.151514,9.505723,9.680053,9.680053,6545380
2020-08-28,9.676093,10.043685,9.421123,9.883473,9.883473,6313231
2020-08-29,9.928211,10.084653,9.744320,9.990630,9.990630,6069786
2020-08-30,10.001884,10.205405,9.905905,10.112946,10.112946,7427667
2020-08-31,10.113405,10.263600,9.956253,10.098565,10.098565,7313159
2020-09-01,10.096642,10.451194,9.950294,10.389771,10.389771,10023796
2020-09-02,10.381355,10.381355,9.498885,9.633234,9.633234,9204047
2020-09-03,9.646316,9.729831,8.556993,8.557193,8.557193,9785562
